,node,port,wire
0,sky130_fd_sc_hd__buf_2 U0,"['A', 'X']","['mem_la_wdata[7]', 'pcpi_rs2[7]']"
1,sky130_fd_sc_hd__buf_2 U1,"['A', 'X']","['mem_la_wdata[6]', 'pcpi_rs2[6]']"
2,sky130_fd_sc_hd__buf_1 U10,"['A', 'X']","['mem_do_rinst', 'n2132']"
3,sky130_fd_sc_hd__buf_1 U100,"['A', 'X']","['n2213', 'n2214']"
4,sky130_fd_sc_hd__xnor2_2 U1000,"['A', 'B', 'Y']","['n3009', 'n3069', 'n3070']"
5,sky130_fd_sc_hd__nor2_2 U1001,"['A', 'B', 'Y']","['n3062', 'n3070', 'n3071']"
6,sky130_fd_sc_hd__a211o_2 U1002,"['A1', 'A2', 'B1', 'C1', 'X']","['n3009', 'n3058', 'n3060', 'n3071', '\\alu_out[3]']"
7,sky130_fd_sc_hd__buf_1 U1003,"['A', 'X']","['instr_sub', 'n3072']"
8,sky130_fd_sc_hd__buf_1 U1004,"['A', 'X']","['n3072', 'n3073']"
9,sky130_fd_sc_hd__o21ai_2 U1005,"['A1', 'A2', 'B1', 'Y']","['n3059', 'n3067', 'n2918', 'n3074']"
10,sky130_fd_sc_hd__nand2_2 U1006,"['A', 'B', 'Y']","['n3064', 'n2933', 'n3075']"
11,sky130_fd_sc_hd__o21a_2 U1007,"['A1', 'A2', 'B1', 'X']","['n3073', 'n3074', 'n3075', 'n3076']"
12,sky130_fd_sc_hd__xnor2_2 U1008,"['A', 'B', 'Y']","['n2944', 'n3076', 'n3077']"
13,sky130_fd_sc_hd__buf_1 U1009,"['A', 'X']","['n3048', 'n3078']"
14,sky130_fd_sc_hd__nand2_2 U101,"['A', 'B', 'Y']","['n2212', 'n2214', 'n2215']"
15,sky130_fd_sc_hd__buf_1 U1010,"['A', 'X']","['mem_la_wdata[4]', 'n3079']"
16,sky130_fd_sc_hd__buf_1 U1011,"['A', 'X']","['n3049', 'n3080']"
17,sky130_fd_sc_hd__a31o_2 U1012,"['A1', 'A2', 'A3', 'B1', 'X']","['n2368', 'n3079', 'n3080', 'n3027', 'n3081']"
18,sky130_fd_sc_hd__a221o_2 U1013,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2944', 'n3078', 'n3081', 'n2943', 'n3030', 'n3082']"
19,sky130_fd_sc_hd__o21a_2 U1014,"['A1', 'A2', 'B1', 'X']","['n3062', 'n3077', 'n3082', '\\alu_out[4]']"
20,sky130_fd_sc_hd__and3_2 U1015,"['A', 'B', 'C', 'X']","['n2388', 'n2949', 'n3049', 'n3083']"
21,sky130_fd_sc_hd__a221o_2 U1016,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2941', 'n3048', 'n3041', 'n2939', 'n3083', 'n3084']"
22,sky130_fd_sc_hd__nor2_2 U1017,"['A', 'B', 'Y']","['n2933', 'n2944', 'n3085']"
23,sky130_fd_sc_hd__inv_2 U1018,"['A', 'Y']","['n3079', 'n3086']"
24,sky130_fd_sc_hd__a21o_2 U1019,"['A1', 'A2', 'B1', 'X']","['n2367', 'n3086', 'n3032', 'n3087']"
25,sky130_fd_sc_hd__buf_1 U102,"['A', 'X']","['\\cpu_state[3]', 'n2216']"
26,sky130_fd_sc_hd__a21bo_2 U1020,"['A1', 'A2', 'B1_N', 'X']","['n2942', 'n3074', 'n2943', 'n3088']"
27,sky130_fd_sc_hd__o22a_2 U1021,"['A1', 'A2', 'B1', 'B2', 'X']","['n3085', 'n3087', 'n3088', 'n3065', 'n3089']"
28,sky130_fd_sc_hd__xnor2_2 U1022,"['A', 'B', 'Y']","['n2941', 'n3089', 'n3090']"
29,sky130_fd_sc_hd__mux2_2 U1023,"['A0', 'A1', 'S', 'X']","['n3084', 'n3090', 'n3030', 'n3091']"
30,sky130_fd_sc_hd__buf_1 U1024,"['A', 'X']","['n3091', '\\alu_out[5]']"
31,sky130_fd_sc_hd__and2b_2 U1025,"['A_N', 'B', 'X']","['n2941', 'n3085', 'n3092']"
32,sky130_fd_sc_hd__or2_2 U1026,"['A', 'B', 'X']","['n3092', 'n2951', 'n3093']"
33,sky130_fd_sc_hd__nor2_2 U1027,"['A', 'B', 'Y']","['n2387', 'mem_la_wdata[5]', 'n3094']"
34,sky130_fd_sc_hd__o21a_2 U1028,"['A1', 'A2', 'B1', 'X']","['n3094', 'n3088', 'n2940', 'n3095']"
35,sky130_fd_sc_hd__mux2_2 U1029,"['A0', 'A1', 'S', 'X']","['n3093', 'n3095', 'n3034', 'n3096']"
36,sky130_fd_sc_hd__nand2_2 U103,"['A', 'B', 'Y']","['is_beq_bne_blt_bge_bltu_bgeu', 'n2137', 'n2217']"
37,sky130_fd_sc_hd__xnor2_2 U1030,"['A', 'B', 'Y']","['n2938', 'n3096', 'n3097']"
38,sky130_fd_sc_hd__a31o_2 U1031,"['A1', 'A2', 'A3', 'B1', 'X']","['n2407', 'n2952', 'n3080', 'n3027', 'n3098']"
39,sky130_fd_sc_hd__a221o_2 U1032,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2938', 'n3078', 'n3098', 'n2937', 'n3030', 'n3099']"
40,sky130_fd_sc_hd__o21a_2 U1033,"['A1', 'A2', 'B1', 'X']","['n3062', 'n3097', 'n3099', '\\alu_out[6]']"
41,sky130_fd_sc_hd__a21o_2 U1034,"['A1', 'A2', 'B1', 'X']","['n2934', 'n3058', 'n3028', 'n3100']"
42,sky130_fd_sc_hd__nand2_2 U1035,"['A', 'B', 'Y']","['n2947', 'n3093', 'n3101']"
43,sky130_fd_sc_hd__nor2_2 U1036,"['A', 'B', 'Y']","['n3052', 'n2953', 'n3102']"
44,sky130_fd_sc_hd__inv_2 U1037,"['A', 'Y']","['n2937', 'n3103']"
45,sky130_fd_sc_hd__o21a_2 U1038,"['A1', 'A2', 'B1', 'X']","['n3103', 'n3095', 'n2936', 'n3104']"
